titulos,companias
Copy Creativo,Involve
Coordiandor de Mercadotecnia y Publicidad,PlayCity Casino
Analista de Diseño,Rytsacolor s.a. de c.v.
Senior Project Manager (Construcción de Interiores),Confidential Priviately-Held Company
Diseñador Animación 3D Arquitectura,Involve
Junior Graphic Designer,The BeeHive Studio
Arquitecto Diseñador de Láminas y presentación visual Arquit...,Involve
Encargado de Mercadotecnia,Operadora de Instituciones Escolares
Digital Marketing Manager,Andari
Diseñador,DULCERIA ITALIANA S DE RL DE CV
Community Manager,AGENCIA DE AUTOS
OPERATIVO DE CAPACITACIÓN A,Instituto Nacional Electoral
Auxiliar Administrativo,CMS Seguridad Privada
Analista de Biología Molecular,"LABORATORIOS DE ESPECIALIDADES INMUNOLÓGICAS, S.A...."
Diseñador Jr.,Pixmi
Diseñador Curricular,Innova Schools
DISEÑO DE MOBILIARIO,Modifica
Director de Arte / Líder de Diseño,Figment
becario diseño grafico,GIMX INDUSTRIAL GROUP MEXICO S A S DE CV
Practicas Profesionales proyecto sobre PERROS,Leaderlix
Social Media Manager,Latam Business School
DISEÑADOR GRAFICO (EMPRESA INMOBILIARIA),Corporativo Kamaji
Diseñador de preprensa,ETICOM
JEFE DE INGENIERIA Y DISEÑO,EMPAQUES MODERNOS PEOSA
DECORADORA DE INTERIORES,ATTIMIS SA DE CV
GERENTE DE DISEÑO,MONUMENTOS PUBLICITARIOS S DERL DE CV
Licenciatura en Diseño,OFFSET IMPRENTA SA DE CV
Diseñador Multimedia,Grupo Ambidieztros
Diseñador Gráfico,TCO
Diseño Gráfico,soltar impresores sa de cv
Vendedor línea mascota,"ALBAOSA, S.A DE C.V."
Diseñador Gráfico,GRUPO SILKA
Diseñador Gráfico Sr.,Ideas Dentales
Secretaria Administrativa,"DISEÑOS Y CONSTRUCCIONES INTEGRALES SANTA MONICA,..."
Asesor comercial en diseño de interiores.,Workbox
Director de Mercadotecnia,GRUPO FERNANDEZ
Traductor(a),"Servicios Interempresariales, S.C."
COMUNICACIÓN INTERNA,Bumeran
Diseñador gráfico exp en publicidad,Involve
Asistente de diseño,Renata Pasteles
DISEÑADORA,COSMETICA INTERNACIONAL MIGUETT S.A. DE C.V.
Diseñador,NEO CONCEPTO EN MUEBLES S.A. DE C.V.
Diseño Gráfico Web,Grupo 30 inventos
Diseñador Industrial,TAIMSA CORPORACIÓN INDUSTRIAL MÉXICO S.A DE C.V
Diseñador Industrial,Paris México Design SA de CV
Diseñador Gráfico,ALSTER S.A. DE C.V.
