titulos,companias
ejecutivo de ventas,YELENA ILICH PEÑA PASCACIO
Mecánico Automotriz Gasolina,AUTOPARTES LOMA DE CABALLO LOS CHILANGOS
Medico ultrasonografista,FMEDICAL
Gestor de cobranza,TOTAL PLAY
Chofer vendedor foraneo,SIGMA ALIMENTOS CENTRO
Asesor de Ventas Mostrador,AUTOPARTES LOMA DE CABALLO LOS CHILANGOS
"BOTARGUERO/A DE FARMACIA EN COMALCALCO, TAB",FARMACIAS SIMILARES
AUXILIAR DE PREVENCION DE PERDIDAS,SUPER CHE
AYUDANTE DE SOLDADOR,nuvoil
MECANICO,RAMA GAS E ZAPATA
MECÁNICO,PALMA REAL DEL SURESTE
asesor de ventas,GI CAPITAL HUMANO
OPERADOR / CHOFER DE REPARTO - Villahermosa,HEX
Maestro Albañil,ZICA CONSTRUCCIONES SA DE CV
SOLDADOR,nuvoil
VENDEDOR DE ABARROTES,BODEGA AURRERA
Guardia de Seguridad,HOTEL HOLIDAY INN EXPRESS VILLAHERMOSA
REPARTIDOR MOTOCICLISTA,COMPAÑIA TRANSPORTADORA DE MERCADERÍAS DEL GOLFO S...
PROMOTOR DE SERVICIO,SERVIFACIL
Motociclista / Repartidor,FARMACIAS GENESIS
chofer 3.5,Talento Humano
VENDEDOR DE PERECEDERO,BODEGA AURRERA
Vendedor,Talent Corp
ejecutivo de ventas,Totalplay 405
Vendedor de Cambaceo,Dish
Cajero de Medio Tiempo,Banco Azteca
AUXILIAR DE CAJERA,DUNOSUSA
repartidor en moto,OPERADORA GPM
COLABORADOR DE TORTILLERIA,SUPER CHE
Asesor Financiero de Crédito,Laborika
Gestor de cobranza - Villahermosa,Financiera Independencia
CHOFER VENDEDOR EN MOTO,GRUPO RAMA GAS S.A. DE C.V.
Enfermera Especialista en Cuidados Intensivos – Los Cabos,RECURSIVITUM DE MEXICO
Enfermera General (Lic. en Enfermería)- Los Cabos,RECURSIVITUM DE MEXICO
ANALISTA DE CALIDAD,Sunopta Mexico SA de CV
Coordinador(a) de Soporte Técnico,LIONDEV SA DE CV
Entrega de Resultados,Salud Digna
AGENDADOR DE CITAS,CONSULTORIA +PEOPLE
"Personal de Cajas (La Piedad, Michoacán)",BBVA
GERENTE ADMINISTRATIVO,COCITODO SOTELO
ANALISTA DE LOGÍSTICA Y RECEPCIÓN,ALTEX FARMS SA DE CV
RECEPCIONISTA,COMPUTEC TECNOLOGIA EN ELECTRÓNICA
RECLUTADOR FREELANCE,CONSULTORIA +PEOPLE
LÍDER DE PRODUCCIÓN,ULTRAORGANICS WORLDWIDE
EJECUTIVA/O EN ATENCIÓN A CLIENTES ZITACUARO,Finatrade
SUPERVISOR GENERAL DE OPERACIONES,TMS INTERNATIONAL
Jefe Administrativo,Sello Rojo
Auxiliar en centro de copiado,OfficeMax
Recepcionista / Auxiliar Administrativo,MOFAMYSE
Auxiliar de Producción/Almacén,MACROTUNELES E INVERNADEROS DE ZAMORA SPR DE RL DE...
Director de Producción JR.,Grupo ORIGO
EJECUTIVA/O EN ATENCION A CLIENTES LAZARO CARDENAS,Finatrade
(MX) ASESOR DE SERVICIO DE DESPACHO_Michoacan,CEMEX
ANALISTA ADMINISTRATIVO DE PROYECTOS,Teva Api
AUXILIAR ADMINISTRATIVO,GIDDINGS FRUIT MEXICO
ADMINISTRADOR,MERZA
Jefe de Almacén,ROVIEL
Gerente de Operaciones,Empresa Procesadora de Alimentos
Auxiliar Administrativo,NR AVOCADOS
Jefe de Almacén,"Plo Pop, S.A de C.V."
RECEPCIONISTA ENCARGADA DE CONMUTADOR,WIFMAX COMUNICACINES
SUPERVISOR DE ARCHIVO,INSTITUTO NACIONAL ELECTORAL
GERENTE COMERCIAL,HUMANA 11
SUPERVISOR DE FLOTA VEHICULAR,PepsiCo
Ing. Industrial,INFASA
AUXILIAR ADMINISTRATIVO,COMERCIALIZADORA AVOCADO PIGER
AUXILIAR ADMINISTRATIVO,DEPORTENIS
CONSEJERO VACACIONAL KIVAC,Grupo Posadas
Promotor de telefonía,BLAST MARKETING
AUXILIAR ADMINISTRATIVO,"GRUPO MI CAMION, SA DE CV"
CAPACITADOR ELECTORAL,INSTITUTO NACIONAL ELECTORAL
Jefe de Almacenes,Empresa Procesadora de Alimentos
RESIDENTE DE OBRA,Casas ARKO
ANDAMIERO,WP CONSTRUCTORA
AUXILIAR ADMINISTRATIVO,CITELIS MOBILITY
Operations Handler,FedEx Express LAC
AUXILIAR ADMINISTRATIVO,ABA S. A. de C. V
LOCALIZADOR DE SITIOS - EXPANSIÓN,Tiendas Tres B
Encargado de bodega,COLCHAS Y BLANCOS CONCORD
AUXILIAR DE ALMACÉN,GRUPO TRANSPORTISTA PANAMERICANO
AGENTE TELEFONICO (Opción a HOME OFFICE),Alcom Contact Center
Embarcador,Mejia y Sucesores S.C
RESIDENTE DE OBRA,IMECA
"Asesoría Digital (Tancítaro, Michoacán)",BBVA
Dietista,HOSPITAL ANGELES MORELIA
ALMACENISTA,"AMPM MENSAJERÍA, PAQUETERIA Y LOGÍSTICA"
Líder de Proceso,Saporis Comercial S.A de C.V
POLICÍA MICHOACAN,SECRETARIA DE SEGURIDAD PÚBLICA MICHOACÁN
Analista de Seguridad Social,CINÉPOLIS
AUXILIAR DE COMPRAS,AGROQUIMICOS DE MICHOACAN SA DE CV
Ops Agent II,FedEx Express LAC
Coordinador de Compras,CTQ & Asociados
AUXILIAR DE LIMPIEZA PARA OFICINAS,Selim - Servicio profesional de limpieza de oficin...
AGENTE DE VENTAS,SUPERTONER
Ejecutivo de Cuenta,HSBC
CAPTURISTA DE DATOS,I.DO CONSULTORIA
coordinador de telermarketing,Grupo Gy y Jardines del Tiempo
ASESOR DE SERVICIO,Suspensiones Automotrices de Nayarit
Coordinador de Compras,"DTM Tecnologías, S.A. de C.V."
EJECUTIVO DE VENTAS,WI GO INTERNET
Consejero vacacional,GRUPO POSADAS
CAJERO TEMPORAL,Caja Popular Los Reyes SC de AP de RL de CV
Gerente de Operaciones,CIRCULO EMPRESARIAL URUAPAN
Auxiliar Administrativo,SOLEC
Grower Jr,ALTEX FARMS
Encargado de compras,Grupo Ortiz
AUXILIAR DE ALMACEN,RAVISA AUTOMOTRIZ
LIDER DE VENTAS CANAL DETALLE,GRUPO LALA
Empleado de Mostrador,Nice de Mexico S.A. de C.V.
Encargado de Logistica,WIFMAX COMUNICACINES
AGENTE DE VENTAS JR,ABARROTES LA VIOLETA SA DE CV
LIDER DE VENTAS DETALLE,GRUPO LALA
Gerente de Recursos Humanos,WORKFORCE
Analista de Control de Calidad,"Aceites y Esencias, S.A. / Essencefleur"
Supervisor,DISH
Localizador de sitios,Tiendas 3B
AUXILIAR ADMINISTRATIVO,CORPORACIÓN RAMPOL
Generalista de Recursos Humanos,"Citrulsa de Mexico, S.A de C.V"
Capturista de datos,AMC
